510102180306020203|20180317|9|10|20180318100001
2018031521255708955|510102180306020203|0000|1|000015|20180317110153
2018031521254160774|510102180306020203|0000|1|000015|20180317103606
2018031521293223599|510102180306020203|0000|1|000015|20180317212711
2018031521283829316|510102180306020203|0000|1|000015|20180317185034
2018031521254768258|510102180306020203|0000|1|000015|20180317104614
2018031521256055636|510102180306020203|0000|1|000015|20180317110742
2018031521256007398|510102180306020203|0000|1|000015|20180317110653
2018031521254962421|510102180306020203|0000|1|000015|20180317104928
2018031521256112453|510102180306020203|0000|2|000015|20180317110838
