510102180306020203|20180313|12|16|20180314101702
2018031520903924450|510102180306020203|0000|1|000015|20180313091854
2018031520905162549|510102180306020203|0000|1|000015|20180313093927
2018031520903158288|510102180306020203|0000|1|T567441234567|20180313090605
2018031520924213459|510102180306020203|0000|2|000015|20180313145658
2018031520904706506|510102180306020203|0000|2|000015|20180313093151
2018031520908457437|510102180306020203|0000|1|000015|20180313103430
2018031520905373994|510102180306020203|0000|1|000015|20180313094259
2018031520922535617|510102180306020203|0000|1|000015|20180313142900
2018031520908533297|510102180306020203|0000|2|000015|20180313103543
2018031520923378776|510102180306020203|0000|1|000015|20180313144303
2018031520924641521|510102180306020203|0000|1|000015|20180313150406
2018031520905251792|510102180306020203|0000|2|000015|20180313094056
