510102180306020203|20180315|10|11|20180316100002
2018031521107852666|510102180306020203|0000|1|000015|20180315175740
2018031521075379434|510102180306020203|0000|1|000015|20180315085643
2018031521077704817|510102180306020203|0000|1|000015|20180315093509
2018031521077927327|510102180306020203|0000|1|000015|20180315093852
2018031521077570746|510102180306020203|0000|1|000015|20180315093255
2018031521077419985|510102180306020203|0000|1|000015|20180315093024
2018031521111522793|510102180306020203|0000|1|000015|20180315185849
2018031521077653975|510102180306020203|0000|1|000015|20180315093419
2018031521076912308|510102180306020203|0000|2|000015|20180315092158
2018031521077783670|510102180306020203|0000|1|000015|20180315093632
